Field Name	JS Datatype	Default	Java Datatype	Description
chartData	Array[Object]			"Read-only. Array, holding processed chart's data."
colors	Array[Color]	"['#FF6600', '#FCD202', '#B0DE09', '#0D8ECF', '#2A0CD0', '#CD0D74', '#CC0000', '#00CC00', '#0000CC', '#DDDDDD', '#999999', '#333333', '#990000']"	List<String>	"Specifies the colors of the graphs if the lineColor of a graph is not set. It there are more graphs then colors in this array, the chart picks random color."
graphs	Array[AmGraph]		List<IsAmGraph>	The array of graphs belonging to this chart.
gridAboveGraphs	Boolean	FALSE	boolean	Specifies if grid should be drawn above the graphs or below. Will not work properly with 3D charts.
guides	Array[Guide]	[]	List<IsGuide>	"Instead of adding guides to the axes, you can push all of them to this array. In case guide has category or date defined, it will automatically will be assigned to the category axis. Otherwise to first value axis, unless you specify a different valueAxis for the guide."
sequencedAnimation	Boolean	TRUE	boolean	Specifies whether the animation should be sequenced or all objects should appear at once.
startAlpha	Number	1	double	"The initial opacity of the column/line. If you set startDuration to a value higher than 0, the columns/lines will fade in from startAlpha. Value range is 0 - 1."
startDuration	Number	0	double	"Duration of the animation, in seconds."
startEffect	String	elastic	String	"Animation effect. Possible values are: easeOutSine, easeInSine, elastic, bounce"
urlTarget	String	_self	String	Target of url.
valueAxes	Array[ValueAxis]	ValueAxis	List<IsValueAxis>	"The array of value axes. Chart creates one value axis automatically, so if you need only one value axis, you don't need to create it."
