Field Name	JS Datatype	Default	Java Datatype	Description
alphaField	String		String	Name of the alpha field in your dataProvider.
balloonColor	Color		String	Value balloon color. Will use graph or data item color if not set.
balloonFunction			IsFunction	"If you set some function, the graph will call it and pass GraphDataItem and AmGraph object to it. This function should return a string which will be displayed in a balloon."
balloonText	String	[[value]]	String	"Balloon text. You can use tags like [[value]], [[description]], [[percents]], [[open]], [[category]] or any other field name from your data provider. HTML tags can also be used."
behindColumns	Boolean	FALSE	boolean	Specifies if the line graph should be placed behind column graphs
bullet	String	none	String	"Type of the bullets. Possible values are: 'none', 'round', 'square', 'triangleUp', 'triangleDown', 'triangleLeft', 'triangleRight', 'bubble', 'diamond', 'xError', 'yError' and 'custom'."
bulletAlpha	Number	1	double	Opacity of bullets. Value range is 0 - 1.
bulletAxis	ValueAxis		IsValueAxis	"bulletAxis value is used when you are building error chart. Error chart is a regular serial or XY chart with bullet type set to 'xError' or 'yError'. The graph should know which axis should be used to determine the size of this bullet - that's when bulletAxis should be set. Besides that, you should also set graph.errorField. You can also use other bullet types with this feature too. For example, if you set bulletAxis for XY chart, the size of a bullet will change as you zoom the chart."
bulletBorderAlpha	Number	0	double	Bullet border opacity.
bulletBorderColor	Color		String	Bullet border color. Will use lineColor if not set.
bulletBorderThickness	Number	2	double	Bullet border thickness.
bulletColor	Color		String	Bullet color. Will use lineColor if not set.
bulletField	String		String	Name of the bullet field in your dataProvider.
bulletOffset	Number	0	double	Bullet offset. Distance from the actual data point to the bullet. Can be used to place custom bullets above the columns.
bulletSize	Number	8	double	Bullet size.
bulletSizeField	String		String	Name of the bullet size field in your dataProvider.
closeField	String		String	Name of the close field (used by candlesticks and ohlc) in your dataProvider.
clustered	Boolean	TRUE	boolean	"In case you want to place this graph's columns in front of other columns, set this to false. In case 'true', the columns will be clustered next to each other."
color	Color		String	Color of value labels. Will use chart's color if not set.
colorField	String		String	Name of the color field in your dataProvider.
columnWidth	Number		double	"You can specify custom column width for each graph individually. Value range is 0 - 1 (we set relative width, not pixel width here)."
connect	Boolean	TRUE	boolean	Specifies whether to connect data points if data is missing. The default value is true.
cornerRadiusTop	Number	0	double	"Corner radius of column. It can be set both in pixels or in percents. The chart's depth and angle styles must be set to 0. The default value is 0. Note, cornerRadiusTop will be applied for all corners of the column, JavaScript charts do not have a possibility to set separate corner radius for top and bottom. As we want all the property names to be the same both on JS and Flex, we didn't change this too."
cursorBulletAlpha	Number	1	double	"If bulletsEnabled of ChartCurosor is true, a bullet on each graph follows the cursor. You can set opacity of each graphs bullet. In case you want to disable these bullets for a certain graph, set opacity to 0."
customBullet	String		String	Path to the image of custom bullet.
customBulletField	String		String	Name of the custom bullet field in your dataProvider.
customMarker	String		String	Path to the image for legend marker.
dashLength	Number	0	double	"Dash length. If you set it to a value greater than 0, the graph line (or columns border) will be dashed."
dashLengthField	String		String	Name of the dash length field in your dataProvider. This property adds a possibility to change graphs line from solid to dashed on any data point. You can also make columns border dashed using this setting.
descriptionField	String		String	Name of the description field in your dataProvider.
errorField	String		String	Name of error value field in your data provider.
fillAlphas	Number	0	double	"Opacity of fill. Plural form is used to keep the same property names as our Flex charts'. Flex charts can accept array of numbers to generate gradients. Although you can set array here, only first value of this array will be used."
fillColors	Color		String	Fill color. Will use lineColor if not set. You can also set array of colors here.
fillColorsField	String		String	Name of the fill colors field in your dataProvider. This property adds a possibility to change line graphs fill color on any data point to create highlighted sections of the graph. Works only withAmSerialChart.
fillToAxis	ValueAxis		IsValueAxis	"XY chart only. If you set this property to id or reference of your X or Y axis, and the fillAlphas is > 0, the area between graph and axis will be filled with color, like in this demo."
fillToGraph	AmGraph		IsAmGraph	"You can set another graph here and if fillAlpha is >0, the area from this graph to fillToGraph will be filled (instead of filling the area to the X axis)."
fixedColumnWidth	Number		double	"Column width in pixels. If you set this property, columns will be of a fixed width and won't adjust to the available space."
fontSize	Number		double	Size of value labels text. Will use chart's fontSize if not set.
gradientOrientation	String	vertical	String	Orientation of the gradient fills (only for 'column' graph type). Possible values are 'vertical' and 'horizontal'.
hidden	Boolean	FALSE	boolean	"Specifies whether the graph is hidden. Do not use this to show/hide the graph, use hideGraph(graph) and showGraph(graph) methods instead."
hideBulletsCount	Number	0	double	"If there are more data points than hideBulletsCount, the bullets will not be shown. 0 means the bullets will always be visible."
highField	String		String	Name of the high field (used by candlesticks and ohlc) in your dataProvider.
id	String		String	"Unique id of a graph. It is not required to set one, unless you want to use this graph for as your scrollbar's graph and need to indicate which graph should be used."
