Field Name	JS Datatype	Default	Java Datatype	Description
angle	Number	0	double	The angle of the 3D part of plot area. This creates a 3D effect if the 'depth3D' is > 0.
autoMarginOffset	Number	10	double	"Space left from axis labels/title to the chart's outside border, if autoMargins set to true."
autoMargins	Boolean	TRUE	boolean	"Specifies if margins of a chart should be calculated automatically so that labels of axes would fit. The chart will adjust only margins with axes. Other margins will use values set with marginRight, marginTop, marginLeft and marginBottom properties."
chartCursor	ChartCursor		IsChartCursor	Cursor of a chart.
chartScrollbar	ChartScrollbar		IsChartScrollBar	Chart's scrollbar.
depth3D	Number	0	double	The depth of the 3D part of plot area. This creates a 3D effect if the 'angle' is > 0.
marginBottom	Number	20	double	"Number of pixels between the container's bottom border and plot area. This space can be used for bottom axis' values. If autoMargin is true and bottom side has axis, this property is ignored."
marginLeft	Number	20	double	"Number of pixels between the container's left border and plot area. This space can be used for left axis' values. If autoMargin is true and left side has axis, this property is ignored."
marginRight	Number	20	double	"Number of pixels between the container's right border and plot area. This space can be used for Right axis' values. If autoMargin is true and right side has axis, this property is ignored."
marginsUpdated	Boolean	FALSE	boolean	Flag which should be set to false if you need margins to be recalculated on next chart.validateNow call.
marginTop	Number	20	double	"Number of pixels between the container's top border and plot area. This space can be used for top axis' values. If autoMargin is true and top side has axis, this property is ignored."
plotAreaBorderAlpha	Number	0	double	The opacity of plot area's border. Value range is 0 - 1.
plotAreaBorderColor	Color	#000000	String	"The color of the plot area's border. Note, the it is invisible by default, as plotAreaBorderAlpha default value is 0. Set it to a value higher than 0 to make it visible."
plotAreaFillAlphas	Number	0	double	"Opacity of plot area. Plural form is used to keep the same property names as our Flex charts'. Flex charts can accept array of numbers to generate gradients. Although you can set array here, only first value of this array will be used."
plotAreaFillColors	Color	#FFFFFF	String	"You can set both one color if you need a solid color or array of colors to generate gradients, for example: ['#000000', '#0000CC']"
plotAreaGradientAngle	Number	0	double	"If you are using gradients to fill the plot area, you can use this property to set gradient angle. The only allowed values are horizontal and vertical: 0, 90, 180, 270."
trendLines	Array[TrendLine]		List<IsTrendLine>	Array of trend lines added to a chart. You can add trend lines to a chart using this array or access already existing trend lines
zoomOutButtonAlpha	Number	0	double	Opacity of zoom-out button background.
zoomOutButtonColor	Color	#e5e5e5	String	Zoom-out button background color.
zoomOutButtonImage	String	lens.png	String	"Name of zoom-out button image. In the images folder there is another lens image, called lensWhite.png. You might want to have white lens when background is dark. Or you can simply use your own image."
zoomOutButtonImageSize	Number	17	double	Size of zoom-out button image
zoomOutButtonPadding	Number	8	double	Padding around the text and image.
zoomOutButtonRollOverAlpha	Number	1	double	Opacity of zoom-out button background when mouse is over it.
zoomOutText	String	Show all	String	Text in the zoom-out button.
