Field Name	JS Datatype	Default	Java Datatype	Description	
balloonDateFormat	String	"MMM DD, YYYY"	String	Date format of the graph balloon (if chart parses dates and you don't use chartCursor).	
categoryAxis	CategoryAxis	CategoryAxis	IsCategoryAxis	"Read-only. Chart creates category axis itself. If you want to change some properties, you should get this axis from the chart and set properties to this object."	
categoryField	String		String	Category field name tells the chart the name of the field in your dataProvider object which will be used for category axis values.	
columnSpacing	Number	5	double	The gap in pixels between two columns of the same category.	
columnSpacing3D	Number	0	double	Space between 3D stacked columns.	
columnWidth	Number	0.8	double	Relative width of columns. Value range is 0 - 1.	
dataDateFormat	String		String	"Even if your chart parses dates, you can pass them as strings in your data Ð all you need to do is to set data date format and the chart will parse dates to date objects. Check this page for available formats.Please note that two-digit years (YY) is NOT supported in this setting."	
endDate	Date		Date	Read-only. If category axis parses dates endDate indicates date to which the chart is currently displayed.	
endIndex	Number		double	Read-only. Category index to which the chart is currently displayed.	
maxSelectedSeries	Number		double	Maximum number of series allowed to select.	
maxSelectedTime	Number		double	"The longest time span allowed to select (in milliseconds) for example, 259200000 will limit selection to 3 days. Works if equalSpacing is set to false (default)."	
minSelectedTime	Number	0	double	"The shortest time span allowed to select (in milliseconds) for example, 1000 will limit selection to 1 second. Works if equalSpacing is set to false (default)."	
mouseWheelScrollEnabled	Boolean	FALSE	boolean	"Specifies if scrolling of a chart with mouse wheel is enabled. If you press shift while rotating mouse wheel, the chart will zoom-in/out."	
mouseWheelZoomEnabled	Boolean	FALSE	boolean	"Specifies if zooming of a chart with mouse wheel is enabled. If you press shift while rotating mouse wheel, the chart will scroll."	
rotate	Boolean	FALSE	boolean	"If you set this to true, the chart will be rotated by 90 degrees (the columns will become bars)."	
startDate	Date		Date	Read-only. If category axis parses dates startDate indicates date from which the chart is currently displayed.	
startIndex	Number		double	Read-only. Category index from which the chart is currently displayed.	
zoomOutOnDataUpdate	Boolean	TRUE	boolean	Specifies if chart should zoom-out when data is updated.	
