Field Name	JS Datatype	Default	Java Datatype	Description
autoGridCount	Boolean	TRUE	boolean	'Specifies whether number of gridCount is specified automatically, acoarding to the axis size.'
axisAlpha	Number	1	double	Axis opacity. Value range is 0 - 1.
axisColor	Color	#000000	String	Axis color.
axisThickness	Number	1	double	Thickness of the axis.
axisX	Number		double	Read-only. Returns x coordinate of the axis.
axisY	Number		double	Read-only. Returns y coordinate of the axis.
boldLabels	Boolean	FALSE	boolean	Specifies if axis labels should be bold or not.
color	Color		String	Color of axis value labels. Will use chart's color if not set.
dashLength	Number	0	double	Length of a dash. 0 means line is not dashed.
fillAlpha	Number	0	double	Fill opacity. Every second space between grid lines can be filled with color. Set fillAlpha to a value greater than 0 to see the fills.
fillColor	Color	#FFFFFF	String	Fill color. Every second space between grid lines can be filled with color. Set fillAlpha to a value greater than 0 to see the fills.
fontSize	Number		double	Size of value labels text. Will use chart's fontSize if not set.
gridAlpha	Number	0.15	double	Opacity of grid lines.
gridColor	Color	#000000	String	Color of grid lines.
gridCount	Number	5	double	'Number of grid lines. In case this is value axis, or your categoryAxis parses dates, the number is approximate. The default value is 5. If you set autoGridCount to true, this property is ignored.'
gridThickness	Number	1	double	Thickness of grid lines.
guides	Array[Guide]	[]	List<IsGuide>	The array of guides belonging to this axis.
ignoreAxisWidth	Boolean	FALSE	boolean	'If autoMargins of a chart is set to true, but you want this axis not to be measured when calculating margin, set ignoreAxisWidth to true.'
inside	Boolean	FALSE	boolean	Specifies whether values should be placed inside or outside plot area.
labelFrequency	Number	1	double	Frequency at which labels should be placed. Doesn't work for CategoryAxis if parseDates is set to true.
labelOffset	Number	0	double	You can use it to adjust position of axes labels. Works both with CategoryAxis and ValueAxis.
labelRotation	Number	0	double	'Rotation angle of a label. Only horizontal axis' values can be rotated. If you set this for vertical axis, the setting will be ignored. Possible values from -90 to 90.'
labelsEnabled	Boolean	TRUE	boolean	Specifies whether axis displays category axis' labels and value axis' values.
minHorizontalGap	Number	75	double	This property is used when calculating grid count (when autoGridCount is true). It specifies minimum cell width required for one span between grid lines.
minorGridAlpha	Number	0.07	double	'Opacity of minor grid. In order minor to be visible, you should set minorGridEnabled to true.'
minorGridEnabled	Boolean	FALSE	boolean	Specifies if minor grid should be displayed.
minVerticalGap	Number	35	double	This property is used when calculating grid count (when autoGridCount is true). It specifies minimum cell height required for one span between grid lines.
offset	Number	0	double	'The distance of the axis to the plot area, in pixels. Negative values can also be used.'
position	String	bottom	String	'Possible values are: ''top'', ''bottom'', ''left'', ''right''. If axis is vertical, default position is ''left''. If axis is horizontal, default position is ''bottom''.'
showFirstLabel	Boolean	TRUE	boolean	'Whether to show first axis label or not. This works properly only on ValueAxis. With CategoryAxis it wont work 100 percent, it depends on the period, zooming, etc. There is no guaranteed way to force category axis to show or hide first label.'
showLastLabel	Boolean	TRUE	boolean	'Whether to show last axis label or not. This works properly only on ValueAxis. With CategoryAxis it wont work 100 percent, it depends on the period, zooming, etc. There is no guaranteed way to force category axis to show or hide last label.'
tickLength	Number	5	double	Length of the tick marks.
title	String		String	Title of the axis.
titleBold	Boolean	TRUE	boolean	Specifies if title should be bold or not.
titleColor	Color		String	Color of axis title. Will use text color of chart if not set any.
titleFontSize	Number		double	Font size of axis title. Will use font size of chart plus two pixels if not set any.
