Field Name	JS Datatype	Default	Java Datatype	Description
autoGridCount	Boolean	FALSE	boolean	"Specifies whether number of gridCount is specified automatically, according to the axis size."
backgroundAlpha	Number	1	double	Background opacity.
backgroundColor	Color	#D4D4D4	String	Background color of the scrollbar.
categoryAxis	CategoryAxis		IsCategoryAxis	Read-only. Category axis of the scrollbar.
color	Color	#FFFFFF	String	Text color.
dragIconHeight	Number	25	double	"Height of resize grip image. Note, you should also update the image in amcharts/images folder if you don't want it to be distorted because of resizing."
dragIconWidth	Number	18	double	"Width of resize grip image. Note, you should also update the image in amcharts/images folder if you don't want it to be distorted because of resizing."
graph	AmGraph		IsAmGraph	Specifies which graph will be displayed in the scrollbar. Only Serial chart's scrollbar can display a graph.
graphFillAlpha	Number	1	double	Graph fill opacity. Value range is 0 - 1.
graphFillColor	Color	#BBBBBB	String	Graph fill color.
graphLineAlpha	Number	0	double	Graph line opacity. Value range is 0 - 1.
graphLineColor	Color	#BBBBBB	String	Graph line color.
graphType	String		String	"by default the graph type is the same as the original graph's type, however in case of candlestick or ohlc you might want to show line graph in the scrollbar. Possible values are: line, column, step, smoothedLine, candlestick, ohlc"
gridAlpha	Number	0.7	double	Grid opacity. Value range is 0 - 1.
gridColor	Color	#FFFFFF	String	Grid color.
gridCount	Number	0	double	The number of grid lines.
hideResizeGrips	Boolean	FALSE	boolean	Specifies whether resize grips are hidden when mouse is away from the scrollbar.
maximum	Number		double	"Maximum value of ValueAxis of ChartScrollbar. Calculated automatically, if not set."
minimum	Number		double	"Minimum value of ValueAxis of ChartScrollbar. Calculated automatically, if not set."
offset	Number	0	double	"Distance from plot area to scrollbar, in pixels."
resizeEnabled	Boolean	TRUE	boolean	Specifies whether scrollbar has a resize feature.
scrollbarHeight	Number	20	double	"Height (width, if chart is rotated) of a scrollbar."
scrollDuration	Number	1	double	"Duration of scrolling, when the user clicks on scrollbar's background, in seconds. Note, updateOnReleaseOnly should be set to false in order animation to happen."
selectedBackgroundAlpha	Number	1	double	Selected backround opacity.
selectedBackgroundColor	Color	#EFEFEF	String	Selected background color.
selectedGraphFillAlpha	Number	1	double	Selected graph's fill opacity. Value range is 0 - 1.
selectedGraphFillColor	Color	#888888	String	Selected graph's fill color.
selectedGraphLineAlpha	Number	0	double	Selected graph's line opacity. Value range is 0 - 1.
selectedGraphLineColor	Color	#888888	String	Selected graph's line color.
updateOnReleaseOnly	Boolean	FALSE	boolean	Specifies if the chart should be updated while dragging/resizing the scrollbar or only at the moment when user releases mouse button.
