Field Name	JS Datatype	Default	Java Datatype	Description
axisAlpha	Number	1	double	Axis opacity.
axisColor	Color	#000000	String	Axis color.
axisThickness	Number	1	double	Thickness of the axis outline.
bandAlpha	Number	1	double	Opacity of band fills.
bandOutlineAlpha	Number	0	double	Opacity of band outlines.
bandOutlineColor	Color	#000000	String	Color of band outlines.
bandOutlineThickness	Number	0	double	Thickness of band outlines.
bands	Array[GaugeBand]		List<IsGaugeBand>	Array of bands - GaugeBand objects. Bands are used to draw color fills between specified values.
bottomText	String		String	Text displayed below the axis center.
bottomTextBold	Boolean	TRUE	boolean	Specifies if text should be bold.
bottomTextColor	Color		String	Bottom text color.
bottomTextFontSize	Number		double	Font size of bottom text.
bottomTextYOffset	Number	0	double	Y offset of bottom text.
bottomTextYOffset	Number	0	double	Y offset of bottom text.
centerX	Number/String	0%	String	"X position of the axis, relative to the center of the gauge."
centerY	Number/String	0%	String	"Y position of the axis, relative to the center of the gauge."
endAngle	Number	120	double	Axis end angle. Valid values are from - 180 to 180.
endValue	Number		double	Axis end (max) value
gridCount	Number	5	double	"Number of grid lines. Note, GaugeAxis doesn't adjust gridCount, so you should check your values and choose a proper gridCount which would result grids at round numbers."
gridInside	Boolean	TRUE	boolean	Specifies if grid should be drawn inside or outside the axis.
id	Number/String		String	Unique id of an axis.
inside	Boolean	TRUE	boolean	Specifies if labels should be placed inside or outside the axis.
labelFrequency	Number	1	double	Frequency of labels.
labelFunction			IsFunction	You can use this function to format axis labels. This function is called and value is passed as a attribute: labelFunction(value);
labelOffset	Number	15	double	Distance from axis to the labels.
minorTickInterval	Number		double	"Interval, at which minor ticks should be placed."
minorTickInterval	Number		double	"Interval, at which minor ticks should be placed."
minorTickLength	Number	5	double	Length of a minor tick.
radius	Number/String	95%	String	Axis radius.
showFirstLabel	Boolean	TRUE	boolean	Specifies if the first label should be shown.
showLastLabel	Boolean	TRUE	boolean	Specifies if the last label should be shown.
startAngle	Number	-120	double	Axis start angle. Valid values are from - 180 to 180.
startValue	Number	0	double	Axis start (min) value.
tickAlpha	Number	1	double	Opacity of axis ticks.
tickColor	Color	#555555	String	Color of axis ticks.
tickLength	Number	10	double	Length of a major tick.
tickThickness	Number	1	double	Tick thickness.
topText	String		String	Text displayed above the axis center.
topTextBold	Boolean	TRUE	boolean	Specifies if text should be bold.
topTextColor	Color		String	Color of top text.
topTextFontSize	Number		double	Font size of top text.
topTextYOffset	Number	0	double	Y offset of top text.
unit	String		String	A string which can be placed next to axis labels.
unitPosition	String	right	String	Position of the unit.
usePrefixes	Boolean	FALSE	boolean	Specifies if small and big numbers should use prefixes to make them more readable.
valueInterval	Number		double	"Interval, at which ticks with values should be placed."
