Field Name	JS Datatype	Default	Java Datatype	Description
alpha	Number		double	Opacity of the data item.
bullet	String		String	Bullet type.
bulletSize	Number		double	Bullet size.
category	String		String	Category value.
color	Color		String	Color of the data item.
customBullet	String		String	Custom bullet (path to file name).
dataContext	Object		Object	Original object from data provider.
description	String		String	Description.
fillColors	Array[Color]		List<String>	"Array of colors of the data item, used by column and candlestick chart only."
percents	Object		Object	Object which holds percents when recalculateToPercents is set to true.
serialDataItem	SerialDataItem		IsSerialDataItem	SerialDataItem of this graphDataItem
url	String		String	url
values	Object		Object	"Object which holds values of the data item (value, open, close, low, high)."
x	Number		double	x coordinate of the data item.
y	Number		double	y coordinate of the data item.
