Field Name	JS Datatype	Default	Java Datatype	Description
above	Boolean	FALSE	boolean	"If you set it to true, the guide will be displayed above the graphs."
angle	Number		double	"Radar chart only. Specifies angle at which guide should start. Affects only fills, not lines."
balloonColor	Color		String	Baloon fill color.
balloonText	String		String	The text which will be displayed if the user rolls-over the guide.
boldLabel	Boolean	FALSE	boolean	Specifies if label should be bold or not.
category	String		String	Category of the guide (in case the guide is for category axis).
color	Color		String	Color of a guide label.
dashLength	Number		double	Dash length.
date	Date		Date	Date of the guide (in case the guide is for category axis and parseDates is set to true).
expand	Boolean	FALSE	boolean	"Works if a guide is added to CategoryAxis and this axis is non-date-based. If you set it to true, the guide will start (or be placed, if it's not a fill) on the beginning of the category cell and will end at the end of toCategory cell."
fillAlpha	Number		double	Fill opacity. Value range is 0 - 1.
fillColor	Color		String	Fill color.
fontSize	Number		double	Font size of guide label.
id	String		String	"Unique id of a Guide. You don't need to set it, unless you want to."
inside	Boolean		boolean	Specifies whether label should be placed inside or outside plot area.
label	String		String	The label which will be displayed near the guide.
labelRotation	Number		double	Rotation angle of a guide label.
lineAlpha	Number		double	Line opacity.
lineColor	Color		String	Line color.
lineThickness	Number		double	Line thickness.
position	String		String	Position of guide label. Possible values are 'left' or 'right' for horizontal axis and 'top' or 'bottom' for vertical axis.
tickLength	Number		double	Tick length.
toAngle	Number		double	"Radar chart only. Specifies angle at which guide should end. Affects only fills, not lines."
toCategory	String		String	To' category of the guide (in case the guide is for category axis).
toDate	Date		Date	"To' date of the guide (in case the guide is for category axis and parseDates is set to true) If you have both date and toDate, the space between these two dates can be filled with color."
toValue	Number		double	To' value of the guide (in case the guide is for value axis).
value	Number		double	Value of the guide (in case the guide is for value axis).
valueAxis	ValueAxis		IsValueAxis	"Value axis of a guide. As you can add guides directly to the chart, you might need to specify which which value axis should be used."
