Field Name	JS Datatype	Default	Java Datatype	Description
align	String	left	String	
alpha	Number	1	double	
bold	Boolean	FALSE	boolean	Specifies if label is bold or not.
color	Color		String	Color of a label.
id	String		String	"Unique id of a Label. You don't need to set it, unless you want to."
rotation	Number	0	double	Rotation angle.
size	Number		double	Text size.
text	String		String	Text of a label.
url	String		String	URL which will be access if user clicks on a label.
x	Number/String		String	X position of a label.
y	Number/String		String	y position of a label.
