Field Name	JS Datatype	Default	Java Datatype	Description
backgroundColor	String		String	
opacity	Number		double	
rollOverBackgroundColor	String		String	
color	String		String	
rollOverColor	String		String	
paddingTop	String		String	
paddingRight	String		String	
paddingBottom	String		String	
paddingLeft	String		String	
marginTop	String		String	
marginRight	String		String	
marginBottom	String		String	
marginLeft	String		String	
textAlign	String		String	
textDecoration	String		String	
fontFamily	String		String	
fontSize	String		String	
